stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
Localized	(7,8.4]	Estrogen signaling pathway	137	16	6.77689866065404e-4	0.0372729426335972
All	(5.6,7]	Colorectal cancer	86	11	0.00227398874742165	0.0375208143324572
Distant	(1.4,2.8]	Endocytosis	244	27	0.00527616575659724	0.0378507543408063
Distant	(1.4,2.8]	Longevity regulating pathway	89	13	0.00522195592099561	0.0378507543408063
Distant	(1.4,2.8]	Progesterone-mediated oocyte maturation	99	14	0.0051374347518055	0.0378507543408063
Distant	(1.4,2.8]	Choline metabolism in cancer	99	14	0.0051374347518055	0.0378507543408063
Localized	(8.4,10]	Phospholipase D signaling pathway	146	7	4.41427427827842e-4	0.0383128097853603
Localized	(8.4,10]	Endocytosis	244	9	4.64397694368004e-4	0.0383128097853603
Localized	(8.4,10]	Apelin signaling pathway	137	7	2.99626370092375e-4	0.0383128097853603
Localized	(8.4,10]	Transcriptional misregulation in cancer	186	8	3.53995513753e-4	0.0383128097853603
Distant	(2.8,4.2]	Hedgehog signaling pathway	47	15	0.00484575650432724	0.0390024304006826
All	(2.8,4.2]	Melanogenesis	101	25	0.0043956157098044	0.0402931440065403
All	(5.6,7]	Endocytosis	244	22	0.00260844329825194	0.0409898232582449
Distant	(2.8,4.2]	Prolactin signaling pathway	70	20	0.00523658961131079	0.041144632660299
All	(2.8,4.2]	Cholinergic synapse	112	27	0.00465532300003494	0.04152044837869
Distant	(2.8,4.2]	Wnt signaling pathway	149	36	0.00564848072610493	0.0423636054457869
Distant	(2.8,4.2]	Choline metabolism in cancer	99	26	0.00557847074765361	0.0423636054457869
Regional	(2.8,4.2]	Central carbon metabolism in cancer	65	31	0.0143015264725182	0.0425180516750543
All	[0,1.4]	Pathways in cancer	526	55	2.60578974346234e-4	0.0429955307671286
All	(2.8,4.2]	B cell receptor signaling pathway	71	19	0.00501294271415106	0.0435334498860487
Distant	(1.4,2.8]	Human immunodeficiency virus 1 infection	212	24	0.00627018894158508	0.0440247308664484
Regional	(2.8,4.2]	IL-17 signaling pathway	93	42	0.0151427353593683	0.0446169881124247
All	(8.4,10]	Renal cell carcinoma	69	12	0.00109903918630165	0.0453353664349433
Distant	(2.8,4.2]	Glioma	71	20	0.00622514401249495	0.0456510560916296
All	(5.6,7]	Thyroid hormone signaling pathway	116	13	0.00313892256209596	0.0470838384314394
All	(2.8,4.2]	Oxytocin signaling pathway	152	34	0.00583029789873747	0.049333289912394
All	(2.8,4.2]	Endocrine resistance	98	24	0.00599302766413255	0.0494424782290935
All	(8.4,10]	Axon guidance	175	22	0.00137838162011426	0.0505406594041897
Distant	(2.8,4.2]	mTOR signaling pathway	151	36	0.00706741362133468	0.0507010107617488
All	(4.2,5.6]	PI3K-Akt signaling pathway	354	48	0.00242670103206997	0.0510046634934796
All	(4.2,5.6]	Tight junction	170	27	0.00247295338150204	0.0510046634934796
All	(4.2,5.6]	Proteoglycans in cancer	201	31	0.00198508785015814	0.0510046634934796
All	(4.2,5.6]	Pancreatic cancer	75	15	0.00244160812838585	0.0510046634934796
All	(4.2,5.6]	Prostate cancer	97	18	0.0022943930540297	0.0510046634934796
Distant	(2.8,4.2]	T cell receptor signaling pathway	101	26	0.00737760999717823	0.0518002404057194
All	(5.6,7]	Non-small cell lung cancer	66	9	0.00361823821269646	0.0519138526169493
Distant	(1.4,2.8]	Glutamatergic synapse	114	15	0.00756199900535349	0.0519301442236717
Distant	(1.4,2.8]	Breast cancer	147	18	0.00771083959684822	0.0519301442236717
All	(2.8,4.2]	AMPK signaling pathway	120	28	0.00646081215669366	0.0520016588221684
Distant	(4.2,5.6]	Colorectal cancer	86	12	0.00169282236486699	0.0520957829370584
Distant	(4.2,5.6]	Pancreatic cancer	75	11	0.00173652609790194	0.0520957829370584
Distant	(7,8.4]	Pyruvate metabolism	39	2	1.58364950714862e-4	0.0522604337359047
All	(1.4,2.8]	Ribosome	153	6	3.18894208700942e-4	0.0526175444356555
Regional	(2.8,4.2]	Inflammatory mediator regulation of TRP channels	99	44	0.0180479161016437	0.0526616423062196
Regional	(2.8,4.2]	Cushing syndrome	154	65	0.0181922037057849	0.0526616423062196
Distant	(2.8,4.2]	Calcium signaling pathway	183	42	0.00774849444441673	0.053270899305365
All	(4.2,5.6]	Ras signaling pathway	232	34	0.0029383556674247	0.0538698539027862
All	(4.2,5.6]	AGE-RAGE signaling pathway in diabetic complications	99	18	0.00289712458901116	0.0538698539027862
Distant	(4.2,5.6]	Proteoglycans in cancer	201	21	0.00196847981916378	0.0541331950270041
Localized	(1.4,2.8]	Phospholipase D signaling pathway	146	14	4.94457137372596e-4	0.0543902851109855
All	(2.8,4.2]	Apelin signaling pathway	137	31	0.00692305137785788	0.0543954036831691
All	(2.8,4.2]	FoxO signaling pathway	132	30	0.00732193103884611	0.0554749298474001
All	(2.8,4.2]	Longevity regulating pathway	89	22	0.00739665731298669	0.0554749298474001
Distant	(4.2,5.6]	cGMP-PKG signaling pathway	163	18	0.00220594825950824	0.0556199114856658
Distant	(4.2,5.6]	mTOR signaling pathway	151	17	0.00235963260848279	0.0556199114856658
Distant	(2.8,4.2]	Prostate cancer	97	25	0.00836961796181958	0.0563668148449074
Regional	(2.8,4.2]	Apoptosis	136	58	0.0196715533411377	0.0564488052397865
Distant	(1.4,2.8]	Bacterial invasion of epithelial cells	74	11	0.00862177437086753	0.0569037108477256
All	(8.4,10]	Phospholipase D signaling pathway	146	19	0.0019161364422028	0.0574840932660842
All	(8.4,10]	Regulation of actin cytoskeleton	213	25	0.00179492294615313	0.0574840932660842
Regional	(2.8,4.2]	Glycerophospholipid metabolism	97	43	0.0202206218741031	0.0575241829177072
Distant	(2.8,4.2]	VEGF signaling pathway	59	17	0.00881345872838329	0.0581688276073297
Regional	(2.8,4.2]	Th1 and Th2 cell differentiation	92	41	0.0208602958538294	0.0588367318954164
All	(2.8,4.2]	Bacterial invasion of epithelial cells	74	19	0.00808241762685882	0.0592710625969647
Regional	(2.8,4.2]	Influenza A	171	71	0.0212276269013193	0.0593653972664016
Distant	(1.4,2.8]	Signaling pathways regulating pluripotency of stem cells	139	17	0.00957392886890017	0.0596112552214539
Distant	(1.4,2.8]	Aldosterone-regulated sodium reabsorption	37	7	0.00941968387520409	0.0596112552214539
Distant	(1.4,2.8]	Gastric acid secretion	75	11	0.00952381415246235	0.0596112552214539
Regional	(2.8,4.2]	Toxoplasmosis	113	49	0.0218347997074191	0.0605502849029269
Regional	(2.8,4.2]	ECM-receptor interaction	82	37	0.0220476771743763	0.0606311122295349
All	(8.4,10]	ErbB signaling pathway	85	13	0.00234195572480027	0.0616828465288447
All	(8.4,10]	Rap1 signaling pathway	206	24	0.00242993031780297	0.0616828465288447
Regional	(2.8,4.2]	Hedgehog signaling pathway	47	23	0.0230432378692833	0.0623300696464221
Regional	(2.8,4.2]	Adherens junction	72	33	0.0230142270445682	0.0623300696464221
Distant	(1.4,2.8]	Hippo signaling pathway - multiple species	29	6	0.0102495610894674	0.0624178291546528
Distant	(1.4,2.8]	Oxytocin signaling pathway	152	18	0.01078126139944	0.0624178291546528
Distant	(1.4,2.8]	Prostate cancer	97	13	0.010726475231443	0.0624178291546528
Distant	(1.4,2.8]	Acute myeloid leukemia	66	10	0.0105263460839308	0.0624178291546528
All	(5.6,7]	mTOR signaling pathway	151	15	0.0050181512456529	0.0629512372632421
All	(5.6,7]	Apelin signaling pathway	137	14	0.00515055577608344	0.0629512372632421
All	(5.6,7]	Insulin signaling pathway	137	14	0.00515055577608344	0.0629512372632421
All	(5.6,7]	Renal cell carcinoma	69	9	0.00489371310857776	0.0629512372632421
Distant	(1.4,2.8]	Relaxin signaling pathway	130	16	0.011094188874883	0.0631221091157141
All	(2.8,4.2]	T cell receptor signaling pathway	101	24	0.0088720001265024	0.0633162230474357
All	(2.8,4.2]	Human cytomegalovirus infection	225	46	0.00901776510069539	0.0633162230474357
All	(2.8,4.2]	mTOR signaling pathway	151	33	0.00936893476087352	0.0644114264810055
Regional	(2.8,4.2]	Insulin secretion	85	38	0.0241206557643453	0.0647139544897069
All	(2.8,4.2]	Prolactin signaling pathway	70	18	0.00963092463067721	0.0648613291453771
Distant	(2.8,4.2]	EGFR tyrosine kinase inhibitor resistance	79	21	0.0104179039980516	0.0661136215260971
Distant	(2.8,4.2]	RNA degradation	79	21	0.0104179039980516	0.0661136215260971
All	(8.4,10]	Ras signaling pathway	232	26	0.00282024235352726	0.0664771411902855
All	(4.2,5.6]	B cell receptor signaling pathway	71	14	0.00385160196974296	0.0668962447376409
Distant	(4.2,5.6]	Hepatocellular carcinoma	168	18	0.00307695103320035	0.0676929227304077
All	(5.6,7]	Hepatocellular carcinoma	168	16	0.00575067639690806	0.0677758289635592
Distant	(2.8,4.2]	Phosphatidylinositol signaling system	99	25	0.0109361629022415	0.0680930897686737
All	(5.6,7]	Focal adhesion	199	18	0.00601015809876768	0.0683914542273564
All	(4.2,5.6]	mTOR signaling pathway	151	24	0.00415427324808652	0.0685455085934275
Distant	(4.2,5.6]	MAPK signaling pathway	295	27	0.00336130443971666	0.0693269040691561
All	(8.4,10]	Pathways in cancer	526	49	0.00317949670941444	0.0699489276071177
Regional	(2.8,4.2]	Shigellosis	65	30	0.0264169416862287	0.0703031512617377
All	(5.6,7]	Proteoglycans in cancer	201	18	0.00665709873020533	0.0708658897086374
All	(5.6,7]	Melanoma	72	9	0.00649377188628309	0.0708658897086374
Regional	(2.8,4.2]	Tight junction	170	70	0.0268489560243374	0.0708812439042507
Distant	(1.4,2.8]	Regulation of actin cytoskeleton	213	23	0.0127159118040451	0.0709661292338252
Distant	(1.4,2.8]	Amphetamine addiction	68	10	0.0129029325879682	0.0709661292338252
Regional	(2.8,4.2]	Amoebiasis	96	42	0.0273780480714537	0.0717044116157121
All	(8.4,10]	Hippo signaling pathway	154	19	0.00353717195522964	0.0723680659021685
All	(8.4,10]	Proteoglycans in cancer	201	23	0.00372805187980868	0.0723680659021685
Distant	(4.2,5.6]	Glioma	71	10	0.00376259127068569	0.0730385364309576
All	(8.4,10]	T cell receptor signaling pathway	101	14	0.00411180596929538	0.0736818277950004
All	(8.4,10]	Hepatocellular carcinoma	168	20	0.00424228705486366	0.0736818277950004
All	(5.6,7]	Autophagy - animal	128	13	0.00726593228483622	0.0736929867205574
All	(5.6,7]	Glutamatergic synapse	114	12	0.00736929867205574	0.0736929867205574
Distant	(4.2,5.6]	AMPK signaling pathway	120	14	0.00403439887256389	0.0739639793303381
Distant	(1.4,2.8]	Cocaine addiction	49	8	0.0137895522040303	0.0745992168414757
Distant	(4.2,5.6]	Cellular senescence	160	17	0.00432524300231007	0.0751226416190697
All	(4.2,5.6]	Apoptosis	136	22	0.00478306052886443	0.0751623797392982
Localized	(7,8.4]	Inositol phosphate metabolism	74	10	0.00231012579295456	0.0753875661127577
Localized	(7,8.4]	MAPK signaling pathway	295	25	0.00306217154184251	0.0753875661127577
Localized	(7,8.4]	Autophagy - animal	128	14	0.00270393090999333	0.0753875661127577
Localized	(7,8.4]	Longevity regulating pathway	89	11	0.00292745042032328	0.0753875661127577
Localized	(7,8.4]	Signaling pathways regulating pluripotency of stem cells	139	15	0.00220704193535678	0.0753875661127577
Localized	(7,8.4]	Pathways in cancer	526	39	0.0029105993987045	0.0753875661127577
Localized	(7,8.4]	Chronic myeloid leukemia	76	10	0.0028240696266588	0.0753875661127577
Localized	(7,8.4]	Dilated cardiomyopathy (DCM)	90	11	0.00319826038054123	0.0753875661127577
Distant	(1.4,2.8]	VEGF signaling pathway	59	9	0.0142618815973571	0.075910014953675
Distant	(4.2,5.6]	Endocytosis	244	23	0.00460282401599133	0.075946596263857
Distant	(2.8,4.2]	HIF-1 signaling pathway	100	25	0.012439515327708	0.0760192603359938
Regional	(2.8,4.2]	NOD-like receptor signaling pathway	168	69	0.0294836648800655	0.0766110977198553
Distant	(4.2,5.6]	Other types of O-glycan biosynthesis	22	5	0.00492063294179189	0.0773242319424441
All	(2.8,4.2]	Amyotrophic lateral sclerosis (ALS)	51	14	0.0118452932085434	0.0781789351763867
All	(2.8,4.2]	Protein processing in endoplasmic reticulum	165	35	0.0121255242011355	0.0784592742426416
Distant	(1.4,2.8]	Phospholipase D signaling pathway	146	17	0.0152003657079617	0.0796209632321803
All	(2.8,4.2]	Cushing syndrome	154	33	0.0125661988496736	0.0797470311613903
Distant	(2.8,4.2]	SNARE interactions in vesicular transport	34	11	0.0134066415696006	0.0804398494176041
Regional	(2.8,4.2]	Mucin type O-glycan biosynthesis	31	16	0.0312505707165025	0.0805678776284831
All	(2.8,4.2]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	18	0.0129637193555315	0.0807174978740646
All	(2.8,4.2]	TNF signaling pathway	110	25	0.0135804969783766	0.0814829818702597
All	(2.8,4.2]	AGE-RAGE signaling pathway in diabetic complications	99	23	0.0134861462607278	0.0814829818702597
Distant	(2.8,4.2]	Circadian entrainment	96	24	0.0141391213917946	0.0818580712156531
Distant	(2.8,4.2]	Colorectal cancer	86	22	0.0140520138652387	0.0818580712156531
Distant	(2.8,4.2]	Estrogen signaling pathway	137	32	0.0144157095869336	0.0820204166153123
Distant	(1.4,2.8]	Tight junction	170	19	0.0160167108896254	0.082586165524631
Regional	(2.8,4.2]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	13	0.0323424550749664	0.0827365129824722
Distant	(1.4,2.8]	Autophagy - other	32	6	0.0165486964476897	0.084016458888271
All	(2.8,4.2]	Thyroid hormone signaling pathway	116	26	0.0143201425307285	0.084386554198936
All	(5.6,7]	Hepatitis C	131	13	0.0087808893450859	0.0852262789375984
All	[0,1.4]	TGF-beta signaling pathway	84	14	9.6142705414947e-4	0.0855018067242874
All	[0,1.4]	Tuberculosis	179	23	0.00129096951205364	0.0855018067242874
All	[0,1.4]	Proteoglycans in cancer	201	25	0.00129548192006496	0.0855018067242874
Distant	(2.8,4.2]	Melanoma	72	19	0.0155602035346235	0.0870316468885722
Distant	(2.8,4.2]	Osteoclast differentiation	128	30	0.0166550511389655	0.0875774499607513
Distant	(2.8,4.2]	Hippo signaling pathway	154	35	0.0164535013368802	0.0875774499607513
Distant	(2.8,4.2]	Vasopressin-regulated water reabsorption	44	13	0.0167193313561434	0.0875774499607513
Distant	(2.8,4.2]	Transcriptional misregulation in cancer	186	41	0.0166748665845813	0.0875774499607513
Regional	(2.8,4.2]	Type II diabetes mellitus	46	22	0.0345717836483036	0.0877591431072323
Distant	(4.2,5.6]	Protein processing in endoplasmic reticulum	165	17	0.00590134904053219	0.0884139034524825
Distant	(4.2,5.6]	Chronic myeloid leukemia	76	10	0.00616218114971848	0.0884139034524825
All	(5.6,7]	C-type lectin receptor signaling pathway	104	11	0.00975045275748699	0.0919328402848774
Distant	(4.2,5.6]	Longevity regulating pathway	89	11	0.0067082629539536	0.092238615616862
All	(4.2,5.6]	Insulin resistance	107	18	0.00677463053363774	0.0931511698375189
All	(4.2,5.6]	Hypertrophic cardiomyopathy (HCM)	83	15	0.00664044290654121	0.0931511698375189
All	(4.2,5.6]	Fluid shear stress and atherosclerosis	139	22	0.00622865829971975	0.0931511698375189
All	(4.2,5.6]	Gastric cancer	149	23	0.00711051254140276	0.0938587655465164
Distant	(2.8,4.2]	GABAergic synapse	88	22	0.0182947376154385	0.0943322408296049
Distant	(2.8,4.2]	Cell cycle	124	29	0.0188814065307233	0.0944070326536169
Distant	(2.8,4.2]	Nicotine addiction	40	12	0.0186856916031407	0.0944070326536169
All	(4.2,5.6]	Sphingolipid metabolism	47	10	0.00794087482803512	0.0946411181459807
All	(4.2,5.6]	Human papillomavirus infection	339	44	0.0080301554790529	0.0946411181459807
All	(4.2,5.6]	Renal cell carcinoma	69	13	0.00782326337428133	0.0946411181459807
All	(5.6,7]	Fc gamma R-mediated phagocytosis	91	10	0.0103996256805873	0.0953299020720503
All	(5.6,7]	EGFR tyrosine kinase inhibitor resistance	79	9	0.0117728773478193	0.0961962858826098
All	(5.6,7]	Apoptosis	136	13	0.0118460441890139	0.0961962858826098
All	(5.6,7]	Th1 and Th2 cell differentiation	92	10	0.0111943340288012	0.0961962858826098
All	(5.6,7]	Parathyroid hormone synthesis, secretion and action	106	11	0.011179563683487	0.0961962858826098
All	(5.6,7]	Insulin resistance	107	11	0.0119516597611727	0.0961962858826098
All	(2.8,4.2]	cGMP-PKG signaling pathway	163	34	0.0169808449169215	0.0983101547821774
All	(5.6,7]	Ubiquitin mediated proteolysis	137	13	0.0125479905548857	0.0985913543598163
Regional	(2.8,4.2]	Melanoma	72	32	0.0397068368465131	0.100024856178239
Localized	(8.4,10]	FoxO signaling pathway	132	6	0.00152050457165914	0.100353301729503
All	(4.2,5.6]	Sphingolipid signaling pathway	118	19	0.00882589229885579	0.100432567538703
Distant	(2.8,4.2]	Inositol phosphate metabolism	74	19	0.0206995981315449	0.10075372157596
Distant	(2.8,4.2]	Longevity regulating pathway	89	22	0.0207613729308039	0.10075372157596
Distant	(1.4,2.8]	Kaposi sarcoma-associated herpesvirus infection	186	20	0.0201592882546653	0.100796441273326
Regional	(2.8,4.2]	Biosynthesis of unsaturated fatty acids	27	14	0.0409295311596137	0.102323827899034
All	[0,1.4]	FoxO signaling pathway	132	18	0.00217973778528951	0.102759067020791
All	[0,1.4]	Axon guidance	175	22	0.00216502099669433	0.102759067020791
All	(8.4,10]	cGMP-PKG signaling pathway	163	19	0.00658539606104919	0.103681482236035
All	(8.4,10]	Sphingolipid signaling pathway	118	15	0.00688963717237282	0.103681482236035
All	(8.4,10]	Neurotrophin signaling pathway	119	15	0.00744276996966859	0.103681482236035
All	(8.4,10]	Hepatitis C	131	16	0.00785465774515419	0.103681482236035
All	(8.4,10]	Human cytomegalovirus infection	225	24	0.0074735180846882	0.103681482236035
All	(8.4,10]	Human papillomavirus infection	339	33	0.00774222920822241	0.103681482236035
Localized	(8.4,10]	HIF-1 signaling pathway	100	5	0.0025190342896774	0.103910164449192
Localized	(8.4,10]	Long-term depression	60	4	0.00244808276774175	0.103910164449192
Localized	(8.4,10]	Progesterone-mediated oocyte maturation	99	5	0.00241064907513289	0.103910164449192
Distant	(1.4,2.8]	cAMP signaling pathway	199	21	0.0212296086609852	0.103994905803428
Distant	(1.4,2.8]	Parathyroid hormone synthesis, secretion and action	106	13	0.02142925331707	0.103994905803428
Localized	(7,8.4]	Renal cell carcinoma	69	9	0.00480403037224895	0.105688668189477
All	(4.2,5.6]	Neurotrophin signaling pathway	119	19	0.00964790256100187	0.10612692817102
Regional	(2.8,4.2]	Gastric acid secretion	75	33	0.0430616197672171	0.106844620475049
All	(5.6,7]	Fluid shear stress and atherosclerosis	139	13	0.0140479115805486	0.107809553990256
Distant	(4.2,5.6]	C-type lectin receptor signaling pathway	104	12	0.00818249078476231	0.108008878358862
All	(4.2,5.6]	Autophagy - animal	128	20	0.0101838440506287	0.108408662474435
All	(2.8,4.2]	Chagas disease (American trypanosomiasis)	102	23	0.0190784424881345	0.108549758984213
Localized	(8.4,10]	Sulfur metabolism	9	2	0.00307216365413096	0.109586348365369
Localized	(8.4,10]	Pathways in cancer	526	12	0.00365287827884565	0.109586348365369
Localized	(8.4,10]	Acute myeloid leukemia	66	4	0.00346696803047599	0.109586348365369
All	(4.2,5.6]	Insulin signaling pathway	137	21	0.0106418465352014	0.109744042394264
Localized	(7,8.4]	Ras signaling pathway	232	20	0.00642127306908381	0.109752809354862
Localized	(7,8.4]	Phosphatidylinositol signaling system	99	11	0.00665168541544619	0.109752809354862
Localized	(7,8.4]	Prostate cancer	97	11	0.00570593123885082	0.109752809354862
Localized	(7,8.4]	Choline metabolism in cancer	99	11	0.00665168541544619	0.109752809354862
Localized	(7,8.4]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	9	0.00637700824410713	0.109752809354862
Regional	(2.8,4.2]	Sphingolipid metabolism	47	22	0.0447169039338416	0.110123718643042
All	(2.8,4.2]	Vasopressin-regulated water reabsorption	44	12	0.0200738130467548	0.110405971757151
All	(2.8,4.2]	Cocaine addiction	49	13	0.0199381735960609	0.110405971757151
Distant	(2.8,4.2]	cGMP-PKG signaling pathway	163	36	0.0231342777135018	0.110642197760226
Distant	(1.4,2.8]	Vasopressin-regulated water reabsorption	44	7	0.0236058363317065	0.11128465699233
Distant	(1.4,2.8]	Viral carcinogenesis	201	21	0.0234492881063612	0.11128465699233
Distant	(1.4,2.8]	Human papillomavirus infection	339	32	0.0240929822984713	0.111981467021064
Distant	(1.4,2.8]	Colorectal cancer	86	11	0.0248994134353985	0.11412231157891
Localized	(1.4,2.8]	Focal adhesion	199	16	0.00138935347537682	0.114621661718588
All	(2.8,4.2]	Mitophagy - animal	65	16	0.0213506374455785	0.11550344847608
All	(2.8,4.2]	Viral carcinogenesis	201	40	0.0217074526361944	0.115539667257164
